"gender","masterCategory","subCategory","articleType","baseColour","season","year","usage"
"Men","Apparel","Topwear","Shirts","Navy Blue","Fall","2011.0","Formal"
"Men","Apparel","Bottomwear","Jeans","Blue","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","Silver","Winter","2016.0","Formal"
"Men","Apparel","Bottomwear","Track Pants","Black","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Grey","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Grey","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Green","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Shirts","Purple","Summer","2012.0","Casual"
"Men","Accessories","Socks","Socks","Navy Blue","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Footwear","Shoes","Casual Shoes","Black","Summer","2011.0","Casual"
"Women","Accessories","Belts","Belts","Black","Summer","2012.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Black","Fall","2011.0","Casual"
"Women","Accessories","Bags","Handbags","Blue","Summer","2012.0","Casual"
"Boys","Footwear","Flip Flops","Flip Flops","Navy Blue","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Purple","Fall","2011.0","Formal"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Girls","Apparel","Topwear","Tops","White","Summer","2012.0","Casual"
"Women","Apparel","Innerwear","Bra","Beige","Summer","2016.0","Casual"
"Women","Accessories","Bags","Handbags","Brown","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Men","Footwear","Sandal","Sandals","Black","Fall","2011.0","Casual"
"Unisex","Accessories","Shoe Accessories","Shoe Accessories","Black","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Sweatshirts","Grey","Fall","2011.0","Casual"
"Men","Personal Care","Fragrance","Deodorant","White","Spring","2017.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Winter","2011.0","Formal"
"Women","Accessories","Jewellery","Bracelet","Bronze","Winter","2012.0","Formal"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Fall","2011.0","Casual"
"Women","Personal Care","Lips","Lipstick","Brown","Spring","2017.0","Casual"
"Women","Accessories","Bags","Handbags","Brown","Winter","2015.0","Formal"
"Men","Apparel","Topwear","Shirts","Navy Blue","Summer","2012.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Green","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Brown","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Winter","2014.0","Casual"
"Women","Footwear","Shoes","Flats","Black","Winter","2012.0","Casual"
